key,en,ru,es,tr,ar,
nav.home,Home, Главная , Inicio , Ana Sayfa , الرئيسية,
nav.about,About, О компании , Acerca de , Hakkımızda , حول,
nav.contact,Contact Us, Связаться с нами , Contacto , İletişim , اتصل بنا,
nav.inoksan,Inoksan, Иноксан , Inoksan , Inoksan , إنوكسن,
nav.refrigeration,Refrigeration, Охлаждение , Refrigeración , Soğutma , التبريد,
nav.kitchen_tools,Kitchen Tools, Кухонные инструменты , Herramientas de cocina , Mutfak Araçları , أدوات المطبخ,
nav.hotel_equipment,Hotel Equipment, Отельное оборудование , Equipamiento hotelero , Otel Ekipmanları , معدات الفندق,
nav.special_request,Special Request, Специальный запрос , Solicitud especial , Özel Talep , طلب خاص,
nav.secure_portal,Secure Portal, Защищённый портал , Portal seguro , Güvenli Portal , بوابة آمنة,
header.company_name,ChefGear, ChefGear , ChefGear , ChefGear , ChefGear,
header.company_tagline,Professional Kitchen Solutions, Профессиональные решения для кухни , Soluciones profesionales de cocina , Profesyonel Mutfak Çözümleri , حلول المطبخ المهنية,
hero.title,Professional Kitchen & Catering Solutions, Профессиональные кухонные и кейтеринговые решения , Soluciones profesionales para cocina y catering , Profesyonel Mutfak ve Catering Çözümleri , حلول المطبخ والتموين المهنية,
hero.subtitle,"Expert consultancy for industrial kitchens, hotel equipment, and catering solutions"," Экспертные консультации для промышленных кухонь, гостиничного оборудования и кейтеринга "," Consultoría experta para cocinas industriales, equipamiento hotelero y catering "," Endüstriyel mutfaklar, otel ekipmanları ve catering çözümleri için uzman danışmanlık ", استشارات خبيرة للمطابخ الصناعية ومعدات الفنادق وخدمات التموين,
hero.cta,Get Consultation, Получить консультацию , Obtener consulta , Danışmanlık Al , احصل على استشارة,
hero.services,View Services, Просмотреть услуги , Ver servicios , Hizmetleri Görüntüle , عرض الخدمات,
company.overview,Leading Industrial Kitchen Consultancy, Ведущая консалтинговая компания по промышленным кухням , Consultoría líder en cocinas industriales , Lider Endüstriyel Mutfak Danışmanlığı , الرائد في استشارات المطابخ الصناعية,
company.description,"With over 15 years of experience, we provide comprehensive solutions for industrial kitchens, hotel equipment, and catering services."," Более 15 лет опыта — комплексные решения для промышленных кухонь, гостиничного оборудования и кейтеринга "," Con más de 15 años de experiencia, ofrecemos soluciones integrales para cocinas industriales, equipamiento hotelero y servicios de catering "," 15 yılı aşkın deneyimle endüstriyel mutfaklar, otel ekipmanları ve catering hizmetleri için kapsamlı çözümler sunuyoruz "," مع أكثر من 15 عامًا من الخبرة، نقدم حلولاً شاملة للمطابخ الصناعية ومعدات الفنادق وخدمات التموين",
features.industrial.title,Industrial Kitchen Solutions, Решения для промышленных кухонь , Soluciones para cocinas industriales , Endüstriyel Mutfak Çözümleri , حلول المطابخ الصناعية,
features.industrial.description,Complete industrial kitchen design and equipment solutions, Полный дизайн и оборудование промышленных кухонь , Diseño completo y equipamiento de cocinas industriales , Tam endüstriyel mutfak tasarımı ve ekipman çözümleri , تصميم وتجهيز المطابخ الصناعية بالكامل,
features.refrigeration.title,Refrigeration Systems, Системы охлаждения , Sistemas de refrigeración , Soğutma Sistemleri , أنظمة التبريد,
features.refrigeration.description,Advanced refrigeration and cooling solutions, Передовые решения по охлаждению и заморозке , Soluciones avanzadas de refrigeración y enfriamiento , Gelişmiş soğutma ve buz çözme çözümleri , حلول تبريد وتجميد متقدمة,
features.tools.title,Professional Kitchen Tools, Профессиональные кухонные инструменты , Herramientas profesionales de cocina , Profesyonel Mutfak Araçları , أدوات مطبخ احترافية,
features.tools.description,High-quality tools for professional kitchens, Высококачественные инструменты для профессиональных кухонь , Herramientas de alta calidad para cocinas profesionales , Profesyonel mutfaklar için yüksek kaliteli araçlar , أدوات عالية الجودة للمطابخ الاحترافية,
features.hotel.title,Hotel Equipment, Отельное оборудование , Equipamiento para hoteles , Otel Ekipmanları , معدات الفنادق,
features.hotel.description,Comprehensive hotel furniture and serving equipment, Комплексная мебель и оборудование для отелей , Mobiliario y equipamiento integral para hoteles , Kapsamlı otel mobilyaları ve ekipmanları , أثاث ومعدات فندقية شاملة,
stats.clients,Satisfied Clients, Удовлетворённые клиенты , Clientes satisfechos , Memnun Müşteriler , العملاء الراضون,
stats.experience,Years Experience, Лет опыта , Años de experiencia , Yıllık Deneyim , سنوات الخبرة,
stats.countries,Countries Served, Обслуживаемые страны , Países atendidos , Hizmet verilen ülkeler , الدول المخدومة,
stats.projects,Projects Completed, Выполненные проекты , Proyectos completados , Tamamlanan projeler , المشاريع المنجزة,
achievements.leader.title,Industry Leader, Лидер отрасли , Líder de la industria , Sektör Lideri , قائد الصناعة,
achievements.leader.description,Recognized as the leading kitchen consultancy in the region, Признанный ведущим консультантом по кухонному оборудованию в регионе , Reconocido como la principal consultoría de cocina en la región , Bölgedeki lider mutfak danışmanı olarak tanındı , معترف به كأفضل استشاري مطبخ في المنطقة,
achievements.success.title,99% Success Rate, 99% Успешных проектов , 99% Tasa de éxito , %99 Başarı Oranı , معدل نجاح 99%,
achievements.success.description,Exceptional project completion and client satisfaction rate, Исключительное завершение проектов и удовлетворение клиентов , Excepcional tasa de finalización de proyectos y satisfacción del cliente , Olağanüstü proje tamamlanma ve müşteri memnuniyeti oranı , معدل استكمال المشاريع ورضا العملاء الاستثنائي,
achievements.innovation.title,Innovation Award, Награда за инновации , Premio a la innovación , İnovasyon Ödülü , جائزة الابتكار,
achievements.innovation.description,Winner of the 2023 Kitchen Innovation Excellence Award, Победитель премии за инновации в кухонной отрасли 2023 , Ganador del Premio a la Innovación en Cocina 2023 , 2023 Mutfak İnovasyon Mükemmellik Ödülü sahibi , الفائز بجائزة التميز في ابتكار المطابخ 2023,
achievements.global.title,Global Presence, Глобальное присутствие , Presencia global , Küresel Varlık , الحضور العالمي,
achievements.global.description,Serving clients across 5 continents with local expertise, Обслуживаем клиентов на 5 континентах с локальной экспертизой , Atendiendo clientes en 5 continentes con experiencia local , 5 kıtada yerel uzmanlıkla hizmet veriyor , نخدم العملاء في 5 قارات بخبرة محلية,
work.title,Our Work in Action, Наша работа в действии , Nuestro trabajo en acción , Çalışmalarımız , عملنا قيد التنفيذ,
work.subtitle,See our professional kitchen solutions in real-world applications, Посмотрите наши профессиональные кухонные решения в реальных условиях , Vea nuestras soluciones profesionales de cocina en aplicaciones reales , Profesyonel mutfak çözümlerimizi gerçek uygulamalarda görün , شاهد حلول المطبخ المهنية لدينا في التطبيقات الواقعية,
work.item1.title,Modern Industrial Kitchen, Современная промышленная кухня , Cocina industrial moderna , Modern Endüstriyel Mutfak , مطبخ صناعي حديث,
work.item1.description,State-of-the-art equipment and design, Современное оборудование и дизайн , Equipos y diseño de última generación , Son teknoloji ekipman ve tasarım , معدات وتصميم حديث,
work.item2.title,Hotel Restaurant Setup, Оборудование для гостиничного ресторана , Equipamiento para restaurante de hotel , Otel restoran kurulumu , إعداد مطعم فندق,
work.item2.description,Complete kitchen and dining solutions, Комплексные решения для кухни и столовой , Soluciones completas para cocina y comedor , Komple mutfak ve yemek alanı çözümleri , حلول كاملة للمطبخ وقاعة الطعام,
work.item3.title,Catering Facility, Кейтеринговое предприятие , Instalación de catering , Catering Tesisi , منشأة التموين,
work.item3.description,High-volume food preparation systems, Системы подготовки пищи большого объёма , Sistemas de preparación de alimentos de alto volumen , Yüksek hacimli yemek hazırlama sistemleri , أنظمة تجهيز الطعام عالي الحجم,
transformations.title,Transformation Gallery, Галерея трансформаций , Galería de transformaciones , Dönüşüm Galerisi , معرض التحولات,
transformations.subtitle,Explore our portfolio of professional kitchen solutions, Изучите наше портфолио профессиональных кухонных решений , Explore nuestro portafolio de soluciones profesionales para cocina , Profesyonel mutfak çözümleri portföyümüzü keşfedin , استكشف معرض حلول المطبخ المهنية لدينا,
transformations.loading,Loading gallery..., Загрузка галереи... , Cargando galería... , Galeri yükleniyor... , جارٍ تحميل المعرض...,
transformations.empty,No images found. Add images to the 'trans' folder in Supabase storage., Изображения не найдены. Добавьте изображения в папку 'trans' в хранилище Supabase. , No se encontraron imágenes. Agregue imágenes a la carpeta 'trans' en el almacenamiento Supabase. , Resim bulunamadı. Supabase depolamasında 'trans' klasörüne resim ekleyin. , لم يتم العثور على صور. أضف الصور إلى مجلد 'trans' في تخزين Supabase.,
products.title,Our Product Range, Наш ассортимент продукции , Nuestra gama de productos , Ürün Yelpazemiz , مجموعة منتجاتنا,
products.description,Comprehensive solutions for all your industrial kitchen needs, Комплексные решения для всех ваших промышленных кухонных нужд , Soluciones integrales para todas sus necesidades de cocina industrial , Tüm endüstriyel mutfak ihtiyaçlarınız için kapsamlı çözümler , حلول شاملة لجميع احتياجات مطبخك الصناعي,
products.search,Search products..., Поиск продуктов... , Buscar productos... , Ürünleri ara... , ابحث عن المنتجات...,
products.search_hotel_equipment,Search hotel equipment..., Поиск отельного оборудования... , Buscar equipamiento hotelero... , Otel ekipmanlarını ara... , البحث عن معدات الفنادق...,
products.search_refrigeration,Search refrigeration equipment..., Поиск холодильного оборудования... , Buscar equipo de refrigeración... , Soğutma ekipmanlarını ara... , البحث عن معدات التبريد...,
products.search_kitchen_tools,Search kitchen tools..., Поиск кухонных инструментов... , Buscar herramientas de cocina... , Mutfak araçlarını ara... , البحث عن أدوات المطبخ...,
products.search_industrial,Search industrial equipment..., Поиск промышленного оборудования... , Buscar equipo industrial... , Endüstriyel ekipman ara... , البحث عن المعدات الصناعية...,
products.filter,Filter, Фильтр , Filtrar , Filtrele , فلتر,
products.clear_filters,Clear Filters, Очистить фильтры , Borrar filtros , Filtreleri temizle , مسح الفلاتر,
products.loading,Loading products..., Загрузка продуктов... , Cargando productos... , Ürünler yükleniyor... , جاري تحميل المنتجات...,
products.no_products_found,No products found, Продукты не найдены , No se encontraron productos , Ürün bulunamadı , لم يتم العثور على منتجات,
products.try_adjusting_filters,Try adjusting your search or filters, Попробуйте изменить параметры поиска или фильтры , Intente ajustar su búsqueda o filtros , Aramanızı veya filtrelerinizi ayarlamayı deneyin , حاول تعديل بحثك أو الفلاتر,
products.add_to_inquiry,Add to Inquiry, Добавить в запрос , Agregar a la consulta , Sorguya ekle , أضف إلى الاستعلام,
products.view_details,View Details, Просмотреть детали , Ver detalles , Detayları görüntüle , عرض التفاصيل,
products.category,Category, Категория , Categoría , Kategori , الفئة,
products.subcategory,Subcategory, Подкатегория , Subcategoría , Alt kategori , الفئة الفرعية,
products.product_code,Product Code, Код продукта , Código de producto , Ürün kodu , رمز المنتج,
products.supplier_code,Supplier Code, Код поставщика , Código del proveedor , Tedarikçi kodu , رمز المورد,
products.price,Price, Цена , Precio , Fiyat , السعر,
products.discount,Discount (%), Скидка (%) , Descuento (%) , İndirim (%) , الخصم (%),
products.quantity,Quantity, Количество , Cantidad , Miktar , الكمية,
products.categories,Categories, Категории , Categorías , Kategoriler , الفئات,
products.all_categories,All Categories, Все категории , Todas las categorías , Tüm Kategoriler , كل الفئات,
products.subcategories,Subcategories, Подкатегории , Subcategorías , Alt kategoriler , الفئات الفرعية,
products.all,All, Все , Todos , Hepsi , الكل,
products.hotel_equipment_description,"Premium hotel furniture and serving equipment for hospitality excellence. From elegant banquet furniture to professional serving stations, create memorable dining experiences.", Премиальная мебель и оборудование для отелей для обеспечения отличного сервиса. От элегантной банкетной мебели до профессиональных станций обслуживания — создайте незабываемый опыт для гостей. ," Muebles y equipamiento premium para hoteles para la excelencia en la hospitalidad. Desde elegantes muebles para banquetes hasta estaciones profesionales de servicio, cree experiencias memorables. ", Konukseverlikte mükemmellik için premium otel mobilyaları ve servis ekipmanları. Zarif banket mobilyalarından profesyonel servis istasyonlarına kadar unutulmaz deneyimler yaratın. ," أثاث وخدمات فندقية مميزة للتميز في الضيافة. من أثاث الولائم الأنيق إلى محطات الخدمة الاحترافية، اصنع تجارب لا تُنسى.",
products.refrigeration_title,Refrigeration Equipment, Оборудование для охлаждения , Equipo de refrigeración , Soğutma Ekipmanı , معدات التبريد,
products.refrigeration_description,"Professional refrigeration solutions for commercial kitchens, restaurants, and food service operations. Energy-efficient units with precise temperature control and reliable performance."," Профессиональные решения по охлаждению для коммерческих кухонь, ресторанов и предприятий общественного питания. Энергоэффективные установки с точным контролем температуры и надежной работой. "," Soluciones profesionales de refrigeración para cocinas comerciales, restaurantes y operaciones de servicios de alimentos. Unidades eficientes con control preciso de temperatura y rendimiento confiable. "," Ticari mutfaklar, restoranlar ve yiyecek hizmeti işletmeleri için profesyonel soğutma çözümleri. Hassas sıcaklık kontrolü ve güvenilir performansa sahip enerji tasarruflu üniteler. ", الحلول الاحترافية للتبريد للمطابخ التجارية والمطاعم وعمليات خدمات الطعام. وحدات موفرة للطاقة مع تحكم دقيق في درجة الحرارة وأداء موثوق.,
